iso-a3,gcbr-index,zoonotic,zoonotic-risk-burden,zoonotic-mitigating-countermeasures,zoonotic-1.1,zoonotic-1.2,zoonotic-2.1,zoonotic-2.3,zoonotic-3.1,zoonotic-3.2,lab-leak,lab-leak-risk-burden,lab-leak-mitigating-countermeasures,lab-leak-1.1,lab-leak-1.2,lab-leak-1.3,lab-leak-2.1,lab-leak-3.1,lab-leak-3.2,lab-leak-3.3,lab-leak-3.4,lab-leak-3.5,lab-leak-4.1,lab-leak-4.2,lab-leak-5.1
SSD,0.005563022,0.011126044,0.014208582,0.216949055,0,0,0,80,7,0,0,0,0.066666667,0,0,0,0,0,0,0,100,0,0,0,0
ESP,0.802743859,0.416612183,0.840257915,0.504185351,0,1,50,80,38,33,1.188875535,1.765656735,0.326666667,3,0,3,2,40,0,0,100,100,100,0,0
LKA,0.349073865,0.690614256,0.737138658,0.063114858,1,0,0,20,5,0,0.007533473,0.007635277,0.013333333,0,0,0,0,20,0,0,0,0,0,0,0
KNA,0.089264867,0.178529735,0.223162169,0.2,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LCA,0.005612759,0.011225517,0.014208582,0.209948107,0,0,0,80,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VCT,0.006546209,0.013092417,0.014208582,0.078555661,0,0,0,20,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SDN,0.111961706,0.223923411,0.269963058,0.170540544,1,0,0,60,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUR,0.006242143,0.012484286,0.014208582,0.121355924,0,0,25,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SWE,0.848264019,0.707562168,1.665253688,0.575102476,0,3,50,100,13,67,0.988965869,3.19021248,0.69,5,1,7,2,60,100,50,100,100,100,100,25
CHE,0.983556379,0.358388626,0.754128355,0.52476442,0,1,50,80,13,67,1.608724132,2.135474512,0.246666667,7,1,0,2,20,0,0,100,0,100,0,0
SYR,0.005027217,0.010054433,0.014208582,0.292368977,0,0,0,60,24,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TJK,0.043158568,0.086317136,0.127877238,0.325,0,0,50,80,0,0,0,0,0.08,0,0,0,0,20,0,0,100,0,0,0,0
TZA,5.320444467,10.56099486,14.68835602,0.280995446,0,29,50,60,2,0,0.07989407,0.07989407,0,0,0,0,0,0,0,0,0,0,0,0,0
THA,0.624493265,0.989297413,2.217587911,0.55388582,4,0,50,100,5,67,0.259689116,0.522863992,0.503333333,3,0,0,0,80,100,100,100,0,0,100,25
TLS,0.006038647,0.012077295,0.014208582,0.15,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TGO,0.031275704,0.062551408,0.07104291,0.119526374,0,0,0,40,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TON,0.006667071,0.013334143,0.014208582,0.06154304,0,0,0,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTO,0.007918271,0.01384583,0.014208582,0.025530489,0,0,0,0,10,0,0.001990713,0.001990713,0,0,0,0,0,0,0,0,0,0,0,0,0
TUN,0.009609858,0.009398866,0.014208582,0.338507813,0,0,50,80,5,0,0.00982085,0.009953564,0.013333333,0,0,0,0,20,0,0,0,0,0,0,0
TUR,0.445670971,0.266932938,0.426378489,0.373953084,0,1,75,0,8,67,0.624409005,1.064333532,0.413333333,3,0,3,0,20,0,0,100,0,100,100,0
TKM,0.004947727,0.009895454,0.014208582,0.303557972,0,0,25,80,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,0.005683433,0.011366866,0.014208582,0.2,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UGA,0.876965108,1.568834361,2.451360943,0.360014948,4,1,50,60,1,33,0.185095854,0.185095854,0,0,0,0,0,0,0,0,0,0,0,0,0
UKR,0.193373331,0.37710607,0.506440184,0.255378854,0,1,50,40,12,0,0.009640592,0.013514849,0.286666667,0,0,0,0,80,0,0,0,100,100,0,0
ARE,0.004571133,0.009142266,0.014208582,0.356567349,0,0,25,80,4,33,0,0,0.083333333,0,0,0,0,0,0,0,0,0,50,0,0
GBR,6.191177799,1.342531066,3.343360441,0.5984486,3,3,50,100,23,67,11.03982453,22.22783463,0.503333333,34,14,29,19,80,0,100,100,100,100,0,25
USA,12.36725258,2.5678385,5.53011976,0.53566313,5,6,50,80,18,67,22.16666667,100,0.778333333,100,100,100,100,80,100,100,100,100,100,100,38
URY,0.038041594,0.076083189,0.239109158,0.681805626,0,0,50,80,43,100,0,0,0.066666667,0,0,0,0,0,0,0,0,100,0,0,0
UZB,0.040758234,0.081516468,0.127877238,0.362541222,0,0,0,60,18,67,0,0,0.166666667,0,0,0,0,0,0,50,100,100,0,0,0
VUT,0.006393862,0.012787724,0.014208582,0.1,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VEN,0.175219438,0.350438877,0.461540983,0.240719916,0,1,0,80,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VNM,1.390861284,2.735083202,4.410566439,0.379879378,3,6,50,60,9,33,0.046639365,0.061910662,0.246666667,0,0,0,0,20,0,0,100,0,100,0,0
YEM,0.240569054,0.481138107,0.610969025,0.2125,1,0,25,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZMB,0.118001842,0.19129444,0.225052283,0.15,0,0,0,60,0,0,0.044709243,0.044709243,0,0,0,0,0,0,0,0,0,0,0,0,0
ZWE,0.10682973,0.16711285,0.21887212,0.236481785,0,0,25,60,10,0,0.046546609,0.046546609,0,0,0,0,0,0,0,0,0,0,0,0,0
